Date,Hour,Rented Bike Count
2017-12-01,0,254
2017-12-01,1,204
2017-12-01,2,173
2017-12-01,3,107
2017-12-01,4,78
2017-12-01,5,100
2017-12-01,6,181
2017-12-01,7,460
2017-12-01,8,930
2017-12-01,9,490
2017-12-01,10,339
2017-12-01,11,360
2017-12-01,12,449
2017-12-01,13,451
2017-12-01,14,447
2017-12-01,15,463
2017-12-01,16,484
2017-12-01,17,555
2017-12-01,18,862
2017-12-01,19,600
2017-12-01,20,426
2017-12-01,21,405
2017-12-01,22,398
2017-12-01,23,323
2017-12-02,0,328
2017-12-02,1,308
2017-12-02,2,262
2017-12-02,3,167
2017-12-02,4,89
2017-12-02,5,79
2017-12-02,6,70
2017-12-02,7,146
2017-12-02,8,219
2017-12-02,9,328
2017-12-02,10,334
2017-12-02,11,388
2017-12-02,12,479
2017-12-02,13,606
2017-12-02,14,611
2017-12-02,15,589
2017-12-02,16,618
2017-12-02,17,572
2017-12-02,18,489
2017-12-02,19,385
2017-12-02,20,359
2017-12-02,21,377
2017-12-02,22,354
2017-12-02,23,366
2017-12-03,0,342
2017-12-03,1,227
2017-12-03,2,228
2017-12-03,3,117
2017-12-03,4,76
2017-12-03,5,32
2017-12-03,6,13
2017-12-03,7,22
2017-12-03,8,85
2017-12-03,9,152
2017-12-03,10,200
2017-12-03,11,273
2017-12-03,12,333
2017-12-03,13,495
2017-12-03,14,563
2017-12-03,15,621
2017-12-03,16,598
2017-12-03,17,545
2017-12-03,18,443
2017-12-03,19,422
2017-12-03,20,397
2017-12-03,21,385
2017-12-03,22,350
2017-12-03,23,303
2017-12-04,0,285
2017-12-04,1,186
2017-12-04,2,112
2017-12-04,3,65
2017-12-04,4,41
2017-12-04,5,82
2017-12-04,6,200
2017-12-04,7,498
2017-12-04,8,937
2017-12-04,9,509
2017-12-04,10,311
2017-12-04,11,379
2017-12-04,12,393
2017-12-04,13,391
2017-12-04,14,338
2017-12-04,15,341
2017-12-04,16,375
2017-12-04,17,515
2017-12-04,18,807
2017-12-04,19,568
2017-12-04,20,398
2017-12-04,21,397
2017-12-04,22,353
2017-12-04,23,248
2017-12-05,0,216
2017-12-05,1,198
2017-12-05,2,124
2017-12-05,3,62
2017-12-05,4,42
2017-12-05,5,82
2017-12-05,6,172
2017-12-05,7,381
2017-12-05,8,812
2017-12-05,9,462
2017-12-05,10,269
2017-12-05,11,334
2017-12-05,12,321
2017-12-05,13,325
2017-12-05,14,334
2017-12-05,15,353
2017-12-05,16,435
2017-12-05,17,529
2017-12-05,18,789
2017-12-05,19,597
2017-12-05,20,418
2017-12-05,21,415
2017-12-05,22,393
2017-12-05,23,244
2017-12-06,0,145
2017-12-06,1,144
2017-12-06,2,117
2017-12-06,3,78
2017-12-06,4,58
2017-12-06,5,87
2017-12-06,6,142
2017-12-06,7,379
2017-12-06,8,802
2017-12-06,9,440
2017-12-06,10,307
2017-12-06,11,381
2017-12-06,12,405
2017-12-06,13,442
2017-12-06,14,416
2017-12-06,15,412
2017-12-06,16,496
2017-12-06,17,239
2017-12-06,18,204
2017-12-06,19,205
2017-12-06,20,190
2017-12-06,21,165
2017-12-06,22,222
2017-12-06,23,193
2017-12-07,0,198
2017-12-07,1,218
2017-12-07,2,149
2017-12-07,3,102
2017-12-07,4,62
2017-12-07,5,83
2017-12-07,6,137
2017-12-07,7,367
2017-12-07,8,754
2017-12-07,9,415
2017-12-07,10,321
2017-12-07,11,333
2017-12-07,12,431
2017-12-07,13,394
2017-12-07,14,390
2017-12-07,15,430
2017-12-07,16,471
2017-12-07,17,552
2017-12-07,18,795
2017-12-07,19,507
2017-12-07,20,390
2017-12-07,21,402
2017-12-07,22,389
2017-12-07,23,259
2017-12-08,0,233
2017-12-08,1,230
2017-12-08,2,131
2017-12-08,3,99
2017-12-08,4,71
2017-12-08,5,84
2017-12-08,6,158
2017-12-08,7,387
2017-12-08,8,780
2017-12-08,9,395
2017-12-08,10,261
2017-12-08,11,310
2017-12-08,12,355
2017-12-08,13,354
2017-12-08,14,350
2017-12-08,15,362
2017-12-08,16,401
2017-12-08,17,500
2017-12-08,18,752
2017-12-08,19,477
2017-12-08,20,384
2017-12-08,21,336
2017-12-08,22,347
2017-12-08,23,275
2017-12-09,0,267
2017-12-09,1,296
2017-12-09,2,237
2017-12-09,3,169
2017-12-09,4,96
2017-12-09,5,56
2017-12-09,6,76
2017-12-09,7,127
2017-12-09,8,222
2017-12-09,9,291
2017-12-09,10,273
2017-12-09,11,351
2017-12-09,12,427
2017-12-09,13,431
2017-12-09,14,486
2017-12-09,15,569
2017-12-09,16,546
2017-12-09,17,481
2017-12-09,18,384
2017-12-09,19,275
2017-12-09,20,298
2017-12-09,21,321
2017-12-09,22,289
2017-12-09,23,265
2017-12-10,0,326
2017-12-10,1,280
2017-12-10,2,243
2017-12-10,3,169
2017-12-10,4,71
2017-12-10,5,13
2017-12-10,6,9
2017-12-10,7,20
2017-12-10,8,35
2017-12-10,9,31
2017-12-10,10,19
2017-12-10,11,58
2017-12-10,12,119
2017-12-10,13,182
2017-12-10,14,235
2017-12-10,15,180
2017-12-10,16,214
2017-12-10,17,226
2017-12-10,18,210
2017-12-10,19,181
2017-12-10,20,165
2017-12-10,21,167
2017-12-10,22,152
2017-12-10,23,148
2017-12-11,0,125
2017-12-11,1,111
2017-12-11,2,67
2017-12-11,3,45
2017-12-11,4,44
2017-12-11,5,86
2017-12-11,6,136
2017-12-11,7,325
