age,workclass,education,education_num,marital_status,occupation,sex,capital_gain,capital_loss,hours_per_week,native_country,discretized_gross_income,workclass_sc,education_sc,marital_status_sc,occupation_sc
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Male,2174,0,40,United-States,<=50K,Gov,Bachelors,Never-married,Adm-clerical
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,0,13,United-States,<=50K,Self-employed,Bachelors,Married,Manager
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,HS-grad,Divorced,Service
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,School,Married,Service
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Female,0,0,40,Cuba,<=50K,Private,Bachelors,Married,Professional
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Female,0,0,40,United-States,<=50K,Private,Masters,Married,Manager
49,Private,9th,5,Married-spouse-absent,Other-service,Female,0,0,16,Jamaica,<=50K,Private,School,Married,Service
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,0,0,45,United-States,>50K,Self-employed,HS-grad,Married,Manager
31,Private,Masters,14,Never-married,Prof-specialty,Female,14084,0,50,United-States,>50K,Private,Masters,Never-married,Professional
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,5178,0,40,United-States,>50K,Private,Bachelors,Married,Manager
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,0,80,United-States,>50K,Private,Some-college,Married,Manager
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,40,India,>50K,Gov,Bachelors,Married,Professional
23,Private,Bachelors,13,Never-married,Adm-clerical,Female,0,0,30,United-States,<=50K,Private,Bachelors,Never-married,Adm-clerical
32,Private,Assoc-acdm,12,Never-married,Sales,Male,0,0,50,United-States,<=50K,Private,Assoc-acdm,Never-married,Sales
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Male,0,0,45,Mexico,<=50K,Private,School,Married,Service
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Male,0,0,35,United-States,<=50K,Self-employed,HS-grad,Never-married,Farming
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Male,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
38,Private,11th,7,Married-civ-spouse,Sales,Male,0,0,50,United-States,<=50K,Private,School,Married,Sales
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Female,0,0,45,United-States,>50K,Self-employed,Masters,Divorced,Manager
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,0,60,United-States,>50K,Private,Doctorate,Married,Professional
54,Private,HS-grad,9,Separated,Other-service,Female,0,0,20,United-States,<=50K,Private,HS-grad,Separated,Service
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Male,0,0,40,United-States,<=50K,Gov,School,Married,Farming
43,Private,11th,7,Married-civ-spouse,Transport-moving,Male,0,2042,40,United-States,<=50K,Private,School,Married,Service
59,Private,HS-grad,9,Divorced,Tech-support,Female,0,0,40,United-States,<=50K,Private,HS-grad,Divorced,Service
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Male,0,0,40,United-States,>50K,Gov,Bachelors,Married,Service
19,Private,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
39,Private,HS-grad,9,Divorced,Exec-managerial,Male,0,0,80,United-States,<=50K,Private,HS-grad,Divorced,Manager
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Male,0,0,52,United-States,<=50K,Gov,Assoc-acdm,Never-married,Service
20,Private,Some-college,10,Never-married,Sales,Male,0,0,44,United-States,<=50K,Private,Some-college,Never-married,Sales
45,Private,Bachelors,13,Divorced,Exec-managerial,Male,0,1408,40,United-States,<=50K,Private,Bachelors,Divorced,Manager
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Male,0,0,40,United-States,<=50K,Gov,Some-college,Married,Adm-clerical
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Male,0,0,15,United-States,<=50K,Gov,Some-college,Married,Service
48,Private,11th,7,Never-married,Machine-op-inspct,Male,0,0,40,Puerto-Rico,<=50K,Private,School,Never-married,Service
21,Private,Some-college,10,Never-married,Machine-op-inspct,Male,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Service
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Female,0,0,25,United-States,<=50K,Private,HS-grad,Married,Adm-clerical
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,<=50K,Self-employed,Assoc-acdm,Married,Professional
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Male,0,0,43,United-States,<=50K,Private,School,Married,Service
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,<=50K,Self-employed,Bachelors,Married,Professional
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Male,0,0,50,United-States,<=50K,Private,Bachelors,Married,Service
49,Private,HS-grad,9,Separated,Adm-clerical,Female,0,0,40,United-States,<=50K,Private,HS-grad,Separated,Adm-clerical
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Male,0,0,35,United-States,<=50K,Private,HS-grad,Never-married,Service
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,>50K,Gov,Bachelors,Married,Professional
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,0,0,38,United-States,<=50K,Private,HS-grad,Married,Service
44,Private,Masters,14,Divorced,Exec-managerial,Female,0,0,40,United-States,<=50K,Private,Masters,Divorced,Manager
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Gov,Assoc-voc,Married,Service
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Male,0,0,43,United-States,<=50K,Private,Assoc-voc,Never-married,Professional
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Female,0,0,40,United-States,<=50K,Private,Some-college,Married,Manager
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Female,0,1902,60,Honduras,>50K,Private,Prof-school,Married,Professional
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Male,0,0,55,United-States,>50K,Gov,Bachelors,Divorced,Manager
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Male,0,0,60,United-States,<=50K,Self-employed,HS-grad,Divorced,Manager
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Male,0,0,40,United-States,>50K,Private,Some-college,Married,Service
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Male,0,0,40,Mexico,<=50K,Private,School,Married,Service
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Male,0,0,40,Puerto-Rico,<=50K,Private,Assoc-voc,Married,Service
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Male,0,0,48,United-States,<=50K,Private,HS-grad,Married,Adm-clerical
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,5013,0,40,United-States,<=50K,Private,HS-grad,Married,Service
30,Private,Bachelors,13,Married-civ-spouse,Sales,Male,2407,0,40,United-States,<=50K,Private,Bachelors,Married,Sales
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,0,45,United-States,>50K,Private,Doctorate,Married,Professional
29,Private,Some-college,10,Divorced,Tech-support,Male,0,0,58,United-States,<=50K,Private,Some-college,Divorced,Service
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
28,Private,Some-college,10,Divorced,Adm-clerical,Female,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Adm-clerical
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Female,0,0,40,United-States,>50K,Private,HS-grad,Married,Adm-clerical
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,0,50,United-States,>50K,Self-employed,Some-college,Married,Manager
19,Private,Some-college,10,Never-married,Prof-specialty,Male,0,0,32,United-States,<=50K,Private,Some-college,Never-married,Professional
31,Private,Bachelors,13,Separated,Sales,Female,0,0,40,United-States,<=50K,Private,Bachelors,Separated,Sales
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Male,0,0,70,United-States,>50K,Self-employed,Bachelors,Married,Sales
23,Private,Some-college,10,Never-married,Machine-op-inspct,Male,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Service
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Male,0,0,20,United-States,<=50K,Private,Some-college,Married,Professional
27,Private,HS-grad,9,Never-married,Other-service,Male,0,0,40,Mexico,<=50K,Private,HS-grad,Never-married,Service
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Male,0,0,40,United-States,<=50K,Private,Assoc-acdm,Married,Adm-clerical
18,Private,11th,7,Never-married,Other-service,Female,0,0,22,United-States,<=50K,Private,School,Never-married,Service
